name,address,latitude,longitude,stars,good_for_meal,price,cuisine_1,cuisine_2,flavor,freshness,service,environment,value
Race Street Cafe,208 Race St,39.9537127,-75.1434447561,4.0,dinner,$$,American (New),American (Traditional),good flavor,good freshness,below average service,good environment,average value
Radicchio Cafe,402 Wood St,39.956611,-75.1463377,4.0,dinner,$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,good value
Ralphs Italian Restaurant,760 S 9th St,39.9400584,-75.1578655,3.5,dinner,$$,Italian,Not Applicable,average flavor,average freshness,average service,average environment,average value
Ramen Bar,3400 Lancaster Ave,39.9572977379,-75.1920437233,3.5,"lunch, dinner",$$,Japanese,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Ratchada Thai & Laos Cuisine,1117 S 11th St,39.936534,-75.16139,4.0,"lunch, dinner",$$,Asian Fusion,Not Applicable,good flavor,good freshness,average service,good environment,good value
Reading Terminal Market,51 N 12th St,39.9533414645,-75.1588545174,4.5,"lunch, brunch, breakfast",$$,Chinese,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Real Food Eatery,207 S 16th St,39.9493695,-75.1675666,4.5,"lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,average value
Red Owl Tavern,433 Chestnut St,39.9492805,-75.1489288,3.5,brunch,$$,American (New),Not Applicable,average flavor,good freshness,below average service,good environment,below average value
Relish,7152 Ogontz Ave,40.0634207,-75.1531244,3.5,"dinner, brunch",$$,Southern,Seafood,average flavor,average freshness,below average service,good environment,average value
Revolution House,200 Market St,39.9497082,-75.1439349,3.5,dinner,$$,American (New),Italian,good flavor,good freshness,average service,excellent environment,average value
Revolution Taco,2015 Walnut St,39.9507589,-75.1743401,4.0,"lunch, dinner",$$,Mexican,Not Applicable,good flavor,good freshness,average service,average environment,average value
Rex at the Royal,1524 S St,39.9437809,-75.1681729,4.5,dinner,$$$,American (New),Southern,good flavor,good freshness,good service,good environment,good value
RIM Cafe,1172 S 9th St,39.9343869,-75.1589957,4.5,Unknown,$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,excellent service,good environment,good value
Ristorante Pesto,1915 S Broad St,39.9263553,-75.1689367,4.5,dinner,$$,Italian,Not Applicable,good flavor,good freshness,excellent service,good environment,good value
Rittenhouse Grill,1701 Locust St,39.9489487,-75.1695317,3.5,dinner,$$$,Steakhouses,Seafood,good flavor,good freshness,average service,good environment,average value
Rosy's Taco Bar,2220 Walnut St,39.9508956186,-75.178367123,4.0,dinner,$$,Mexican,Not Applicable,good flavor,good freshness,average service,average environment,average value
Rouge,205 S 18th St,39.949638,-75.170671,3.5,dinner,$$,American (Traditional),Asian Fusion,average flavor,average freshness,average service,good environment,below average value
Royal Sushi & Izakaya,780-782 S 2nd St,39.9380805,-75.1465231,4.5,"latenight, dinner",$$,Japanese,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Rustica,903 N 2nd St,39.9642199,-75.1404574,4.0,"lunch, dinner",$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,good value
Rybread,1711 Fairmount Ave,39.9673313,-75.1658216,4.0,"lunch, breakfast",$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
Saad's Halal Restaurant,4500 Walnut St,39.9549627,-75.2118511,4.5,"lunch, dinner",$,Middle Eastern,Indian,excellent flavor,excellent freshness,good service,good environment,good value
Sabrina's Café,227 N 34th St,39.9598792,-75.1906815,4.0,"lunch, brunch, breakfast",$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Sabrina's Café,1804 Callowhill St,39.9604147854,-75.1686044902,4.0,"brunch, breakfast",$$,American (New),Vegetarian,good flavor,good freshness,average service,average environment,good value
Sahara Grill,1334 Walnut St,39.9491798,-75.1635651,4.0,"lunch, dinner",$$,Mediterranean,Middle Eastern,good flavor,good freshness,average service,average environment,good value
Sam's Morning Glory Diner,735 S 10th St,39.9408607,-75.1589045,4.0,"brunch, breakfast",$$,Not Applicable,Not Applicable,good flavor,good freshness,below average service,average environment,average value
Sampan,124 S 13th St,39.9495313759,-75.1621570259,4.0,dinner,$$$,Asian Fusion,Not Applicable,good flavor,good freshness,average service,good environment,average value
Sancho Pistola's,19 W Girard Ave,39.9688395,-75.1351413,4.0,"latenight, dinner, brunch",$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Sang Kee Noodle House,3549 Chestnut St,39.9548759225,-75.1939325212,3.0,"lunch, dinner",$$,Chinese,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Sang Kee Peking Duck House,238 N 9th St,39.9563986,-75.1542873,4.0,"lunch, dinner",$$,Chinese,Cantonese,good flavor,good freshness,average service,average environment,good value
Santucci's Original Square Pizza,901 S 10th St,39.9390394,-75.159227,3.5,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Sardi's Pollo A La Brasa,4510 City Ave,40.0030483,-75.2219283,4.0,"lunch, dinner",$$,Latin American,Peruvian,good flavor,good freshness,average service,average environment,good value
Sassafras Bar,48 S 2nd St,39.948832,-75.144063,4.5,"latenight, dinner",$$,American (New),Not Applicable,good flavor,good freshness,average service,excellent environment,good value
Seorabol Korean Restaurant,5734 Old 2nd St,40.0385555068,-75.1242795983,4.0,"lunch, dinner",$$,Korean,Japanese,good flavor,good freshness,average service,good environment,average value
Shake Shack,2000 Sansom St,39.9512256328,-75.1737892628,3.5,"lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,good service,good environment,average value
Shang Hai 1,123 N 10th St,39.9541205693,-75.1560343422,4.0,"lunch, dinner",$$,Chinese,Taiwanese,good flavor,average freshness,good service,good environment,good value
Silk City Diner & Lounge,435 Spring Garden St,39.9613271,-75.1460328,4.0,brunch,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,good value
Slice,1180 S 10th St,39.934678,-75.160539,3.5,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,average environment,average value
Smile Cafe,105 S 22nd St,39.9521517,-75.1768973,4.0,"lunch, dinner",$$,Thai,Noodles,good flavor,good freshness,good service,average environment,good value
Smiley's Cafe,4251 Main St,40.024774,-75.2214354,4.5,"lunch, dinner",$,Mediterranean,Greek,good flavor,good freshness,excellent service,average environment,good value
Snap Custom Pizza - Center City,1504 Sansom St,39.9502972,-75.1661556,4.0,"lunch, dinner",$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
SOMO Manayunk,4311 Main St,40.0250874,-75.2221876,3.5,"dinner, brunch",$$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Sonny's Famous Steaks,228 Market St,39.9499178538,-75.1447920753,4.0,"lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,good service,average environment,good value
Soup Kitchen Cafe,2146 E Susquehanna Ave,39.9798199,-75.129822,4.0,"lunch, brunch, breakfast",$$,American (New),Not Applicable,excellent flavor,excellent freshness,average service,good environment,good value
South Philadelphia Tap Room,"1509 Mifflin St, Newbold",39.927216,-75.171477,4.0,dinner,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
South Philly Barbacoa,1140 S 9th St,39.935354,-75.158801,4.5,"lunch, breakfast",$$,Mexican,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Southgate,1801 Lombard St,39.9455687,-75.1717901,4.0,dinner,$$,American (Traditional),Korean,good flavor,good freshness,good service,good environment,average value
South,600 N Broad St,39.964395,-75.161227,4.0,"dessert, dinner",$$$,Southern,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
Soy Cafe,630 N 2nd St,39.9616969288,-75.1412892166,4.5,lunch,$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
Spasso Italian Grill,34 S Front St,39.948706,-75.142687,4.0,dinner,$$,Italian,American (Traditional),good flavor,good freshness,average service,good environment,average value
Spataro's Cheesesteaks,51 N 12th St,39.9531593,-75.1590984,2.5,lunch,$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Spice 28,1228 Chestnut St,39.950352,-75.1615829,4.0,"lunch, dinner",$$,Asian Fusion,American (New),good flavor,good freshness,average service,good environment,average value
Spice C,131 N 10th St,39.9543751,-75.155929,4.0,"lunch, dinner",$$,Chinese,Not Applicable,good flavor,good freshness,average service,average environment,good value
Spice Finch,220 S 17th St,39.9493776356,-75.169540979,4.5,"dinner, brunch",$$,Mediterranean,Not Applicable,good flavor,good freshness,average service,good environment,average value
SPOT Gourmet Burgers,2821 W Girard Ave,39.9747101233,-75.1825701445,4.5,"lunch, dinner",$$,Burgers,Not Applicable,good flavor,good freshness,good service,average environment,good value
Spread Bagelry,262 S 20th St,39.9485847,-75.1744427,3.5,"brunch, breakfast",$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Square 1682,121 S 17th St,39.9508011,-75.1686108,3.5,dinner,$$,American (New),Not Applicable,average flavor,average freshness,average service,good environment,average value
Standard Tap,901 N 2nd St,39.96414,-75.1405144,4.0,dinner,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,average value
Stateside,1536 E Passyunk Ave,39.930249,-75.163265,3.5,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
Steve's Prince of Steaks,7200 Bustleton Ave,40.0456111,-75.0609207,4.0,"latenight, lunch, dinner",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,average environment,average value
Stockyard Sandwich,1541 Spring Garden St,39.9630709056,-75.164270103,4.5,"lunch, breakfast",$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Stogie Joe's Tavern,1801 E Passyunk Ave,39.927559,-75.166057,3.5,Unknown,$$,American (New),Italian,good flavor,average freshness,below average service,average environment,average value
Strangelove's,216 S 11th St,39.948089,-75.1592111423,4.0,,$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,average value
Su Xing House,1508 Sansom St,39.950215,-75.166346,4.0,"lunch, dinner",$$,Chinese,Not Applicable,good flavor,good freshness,average service,good environment,excellent value
Sumo Sushi,401 S 13th St,39.945196,-75.162803,3.5,"lunch, dinner",$$,Sushi,Not Applicable,average flavor,average freshness,average service,average environment,good value
Suraya,1528 Frankford Ave,39.9736865005,-75.1339557767,4.5,"dessert, lunch, dinner, brunch, breakfast",$$$,Middle Eastern,Lebanese,good flavor,good freshness,average service,excellent environment,average value
Sweet Box Cupcakes,339 S 13th St,39.9455654,-75.1627808,4.5,Unknown,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,good environment,average value
Sweet Lucy's Smokehouse,7500 State Rd,40.029103,-75.0272619,4.5,"lunch, dinner",$$,Barbeque,Not Applicable,good flavor,good freshness,good service,good environment,good value
T-Swirl Crêpe,150 N 10th St,39.9550806,-75.1561748,4.0,"dessert, lunch",$,Japanese,Not Applicable,good flavor,average freshness,average service,good environment,average value
Tacconelli's Pizzeria,2604 E Somerset St,39.980483,-75.11303,4.0,dinner,$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,average value
Taco Riendo,1301 N 5th St,39.9714977,-75.1444936,4.0,"lunch, dinner",$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Tai Lake Restaurant,134 N 10th St,39.9546629,-75.156162,3.5,"latenight, dinner",$$,Chinese,Not Applicable,average flavor,average freshness,below average service,average environment,average value
Talula's Daily,208 W Washington Square,39.9472825,-75.1536278,4.5,"lunch, brunch, breakfast",$$,American (Traditional),Not Applicable,good flavor,good freshness,good service,good environment,average value
Talula's Garden,210 W Washington Sq,39.9473272218,-75.1535421779,4.5,dinner,$$$,American (New),Not Applicable,excellent flavor,excellent freshness,good service,excellent environment,good value
Tamarind,117 S St,39.9412384,-75.14467,4.0,dinner,$$,Thai,Not Applicable,good flavor,good freshness,average service,average environment,good value
Taqueria La Veracruzana,908 Washington Ave,39.93613,-75.15913,4.0,"lunch, dinner",$,Mexican,Not Applicable,good flavor,average freshness,average service,average environment,good value
Tattooed Mom,530 South St,39.9416802,-75.1519159,4.0,latenight,$$,American (New),Vegan,good flavor,average freshness,below average service,good environment,good value
Tela's Market & Kitchen,1833 Fairmount Ave,39.967417,-75.168217,4.0,"lunch, brunch, breakfast",$$,American (New),Not Applicable,average flavor,good freshness,below average service,good environment,below average value
Ten Stone Bar & Restaurant,2063 South St,39.9450458,-75.1769728,3.0,dinner,$$,Asian Fusion,American (New),below average flavor,below average freshness,below average service,average environment,below average value
Tequilas Restaurant,1602 Locust St,39.9485127,-75.1680322,4.0,dinner,$$$,Mexican,Not Applicable,good flavor,good freshness,average service,good environment,average value
Terakawa Ramen,204 N 9th St,39.955402,-75.154484,4.5,"lunch, dinner",$$,Japanese,Ramen,good flavor,good freshness,average service,good environment,good value
Termini Bros Bakery,12th St & Filbert St,39.9530477103,-75.1590135265,4.0,Unknown,$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,average service,good environment,good value
Termini Bros Bakery,1523 S 8th St,39.9297933,-75.1580422,4.5,Unknown,$$,Not Applicable,Not Applicable,good flavor,good freshness,good service,excellent environment,average value
TGI Fridays,4000 City Ave,40.007927,-75.211183,2.0,"dessert, lunch, dinner",$$,American (Traditional),Not Applicable,below average flavor,below average freshness,bad service,bad environment,bad value
The Abbaye,637 N 3rd St,39.9622476511,-75.1430036973,4.0,"dinner, brunch",$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,good value
The Adobe Cafe,4550 Mitchell St,40.0342316,-75.2191448,3.5,dinner,$$,Mexican,Not Applicable,average flavor,below average freshness,below average service,below average environment,average value
The Bakeshop on 20th,269 S 20th St,39.9484101,-75.174133,4.5,"dessert, lunch, brunch, breakfast",$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,average environment,average value
The Black Sheep Pub & Restaurant,247 S 17th St,39.9484223,-75.1692901,3.5,latenight,$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,average value
The Capital Grille,1338-46 Chestnut St,39.9506134672,-75.1636080327,4.0,dinner,$$$,American (Traditional),Italian,good flavor,good freshness,average service,good environment,average value
The Cheesecake Factory,1430 Walnut St,39.9491039,-75.1658813,3.0,"dessert, lunch, dinner, brunch",$$,American,Seafood,average flavor,below average freshness,below average service,average environment,average value
The Continental Mid-town,1801 Chestnut St,39.9519308,-75.1704529,3.5,dinner,$$,American (Traditional),Not Applicable,average flavor,average freshness,average service,good environment,average value
The Couch Tomato Cafe,102 Rector St,40.0247731,-75.2213162,4.0,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,average service,good environment,average value
The Dandelion,124 S 18th St,39.951004,-75.170636,4.0,dinner,$$,British,Not Applicable,good flavor,good freshness,average service,excellent environment,average value
The Dutch,1527 S 4th St,39.9288513959,-75.1521847471,4.0,"lunch, brunch, breakfast",$$,Breakfast & Brunch,Not Applicable,good flavor,good freshness,average service,average environment,average value
The Famous 4th Street Cookie Company,51 N 12th St,39.9530717477,-75.1594193432,4.0,Unknown,$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,average environment,average value
The Foodery at Rittenhouse,1710 Sansom St,39.9505843,-75.1693697,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,average flavor,average freshness,below average service,good environment,average value
The Goat's Beard,4201 Main St,40.0238229063,-75.2201271057,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
The Gold Standard Cafe,4800 Baltimore Ave,39.9481839,-75.2196691,3.0,"lunch, brunch, breakfast",$$,American,Not Applicable,below average flavor,below average freshness,bad service,average environment,below average value
The Good King Tavern,614 S 7th St,39.941969,-75.154207,4.0,dinner,$$,French,Not Applicable,good flavor,good freshness,average service,good environment,average value
The Love,130 S 18th St,39.9506555,-75.1708991,4.0,"dessert, lunch, dinner, brunch",$$$,American (New),Not Applicable,good flavor,good freshness,good service,good environment,average value
The Olde Bar,125 Walnut St,39.9469051201,-75.1440923726,4.0,dinner,$$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,average value
The Original Tony Lukes,39 E Oregon Ave,39.9141065086,-75.1487272304,4.0,"lunch, dinner",$$,Not Applicable,Not Applicable,good flavor,good freshness,average service,average environment,good value
The Plough & the Stars,123 Chestnut St,39.948524,-75.1437297,3.5,,$$,Irish,Not Applicable,good flavor,good freshness,average service,good environment,average value
The QUICK FIXX,1511 South St,39.944064,-75.1676029,4.0,"lunch, dinner",$$,Italian,Not Applicable,good flavor,good freshness,good service,average environment,good value
The Sidecar Bar & Grille,2201 Christian St,39.9418939,-75.1794584,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,good environment,good value
The Twisted Tail,509 S 2nd St,39.9418766,-75.1451988,4.0,"latenight, dinner",$$,American,Not Applicable,good flavor,good freshness,average service,good environment,average value
The Victor Cafe,1303 Dickinson St,39.931653,-75.166327,4.5,dinner,$$,Italian,Not Applicable,good flavor,good freshness,good service,excellent environment,good value
Three Monkeys Cafe,9645 James St,40.053857,-74.98396,3.5,"lunch, dinner",$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Tierra Colombiana Restaurant,4535 N 5th St,40.0205736,-75.1337987,4.0,dinner,$$,Latin American,Cuban,good flavor,good freshness,average service,good environment,good value
Tiffin,710 W Girard Ave,39.9701111,-75.1486779,3.5,dinner,$$,Indian,Pakistani,average flavor,average freshness,below average service,below average environment,average value
Time,1315 Sansom St,39.9500001533,-75.1625513634,4.0,"latenight, dinner",$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Ting Wong Restaurant,138 N 10th St,39.954754,-75.156191,4.0,"lunch, dinner",$$,Asian Fusion,Chinese,good flavor,good freshness,average service,average environment,good value
Tinto,114 S 20th St,39.9515011,-75.1738449,4.0,dinner,$$$,Spanish,Basque,good flavor,good freshness,average service,good environment,average value
Tom's Dim Sum,59 N 11th St,39.9532889,-75.1578543,3.5,"lunch, dinner",$$,Chinese,Shanghainese,good flavor,good freshness,average service,good environment,good value
Tommy DiNic's,1136 Arch St,39.95347837,-75.1593960603,4.0,lunch,$$,American (Traditional),Not Applicable,good flavor,good freshness,good service,average environment,good value
Tres Jalapenos,901 S 8th St,39.9384274,-75.1561557,3.5,"lunch, dinner",$$,Mexican,Not Applicable,average flavor,average freshness,below average service,below average environment,average value
Tria Cafe Rittenhouse,123 S 18th St,39.9509483,-75.1704197,4.5,,$$$,Modern European,Not Applicable,good flavor,good freshness,good service,good environment,average value
Tria Cafe Wash West,1137 Spruce St,39.9466238,-75.1609139,4.5,dinner,$$,Modern European,American (New),good flavor,good freshness,excellent service,good environment,good value
Twenty Manning,261 S 20th St,39.9486084,-75.1740323,3.5,dinner,$$,American (New),Middle Eastern,good flavor,good freshness,average service,good environment,average value
Umai Umai,533 N 22nd St,39.9646735,-75.1741002,4.5,dinner,$$,Asian Fusion,Japanese,good flavor,good freshness,good service,average environment,average value
Urban Farmer Philadelphia,1850 Benjamin Franklin Pkwy,39.957207,-75.1699827,4.0,"lunch, dinner, brunch",$$$,American (Traditional),Not Applicable,good flavor,good freshness,average service,good environment,average value
Urban Saloon,2120 Fairmount Ave,39.9670245,-75.1729544,3.0,"latenight, dinner, brunch",$$,American (New),Not Applicable,average flavor,average freshness,below average service,average environment,average value
Uzbekistan Restaurant,12012 Bustleton Ave,40.1226988,-75.0162309,4.0,dinner,$$,Uzbek,Russian,good flavor,good freshness,below average service,good environment,good value
Vango Lounge & Skybar,116 S 18th St,39.9511992,-75.1706583,2.0,Unknown,$$,Mediterranean,Greek,bad flavor,bad freshness,bad service,below average environment,bad value
Varga Bar,941 Spruce St,39.9462043942,-75.1577992928,3.5,dinner,$$,American,Not Applicable,good flavor,average freshness,below average service,good environment,average value
Veda - Modern Indian Bistro,1920 Chestnut St,39.9517805,-75.1729152,4.0,"lunch, dinner",$$,Indian,Not Applicable,good flavor,good freshness,average service,good environment,average value
Vedge,1221 Locust St,39.9479310476,-75.1614279837,4.5,dinner,$$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,good environment,average value
Vernick Food & Drink,2031 Walnut St,39.950759,-75.1748461,4.5,dinner,$$$$,American (New),Not Applicable,excellent flavor,excellent freshness,good service,good environment,good value
Vetri Cucina,1312 Spruce St,39.9466441,-75.1631867,4.5,dinner,$$$$,Italian,Cuban,good flavor,good freshness,excellent service,good environment,average value
Vic Sushi Bar,2035 Sansom St,39.9515773,-75.174834,4.0,"lunch, dinner",$$,Japanese,Not Applicable,good flavor,good freshness,average service,average environment,good value
Vientiane Café,4728 Baltimore Ave,39.9483087,-75.2178905,4.0,dinner,$$,Vietnamese,Thai,good flavor,good freshness,average service,average environment,good value
Vietnam Cafe,816 S 47th St,39.9481782,-75.2168865,4.0,dinner,$$,Vietnamese,Not Applicable,good flavor,good freshness,average service,good environment,average value
Vietnam Restaurant,221 N 11th St,39.9563297,-75.157069,4.0,dinner,$$,Vietnamese,Not Applicable,good flavor,good freshness,good service,good environment,average value
Villa Di Roma,936 S 9th St,39.9379512,-75.158238,4.0,dinner,$$,Italian,Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Village Whiskey,118 S 20th St,39.9514165949,-75.1737677917,4.0,dinner,$$,American (New),Not Applicable,good flavor,good freshness,average service,average environment,average value
Vintage Wine Bar,129 S 13th St,39.9495566,-75.1617091,4.0,dinner,$$,French,Not Applicable,good flavor,good freshness,average service,good environment,average value
White Dog Cafe,3420 Sansom St,39.9535582,-75.1929054,4.0,"lunch, dinner, brunch",$$,American (New),American (Traditional),average flavor,average freshness,below average service,good environment,average value
Winnie's Manayunk,4266 Main St,40.024735,-75.2222673,3.5,"lunch, brunch",$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,average environment,below average value
Wm Mulherin's Sons,1355 N Front St,39.971709,-75.135062,4.5,dinner,$$$,Italian,Szechuan,good flavor,good freshness,average service,good environment,average value
Woodrow's Sandwich Shop,630 South St,39.9419789,-75.1532317,4.5,lunch,$$,Not Applicable,Not Applicable,excellent flavor,excellent freshness,good service,average environment,good value
Woody's,202 S 13th St,39.949064,-75.16241,3.0,Unknown,$$$$,American (Traditional),Not Applicable,average flavor,average freshness,below average service,below average environment,below average value
World Cafe Live,3025 Walnut St,39.9520744759,-75.1851766256,4.0,dinner,$$,American,Not Applicable,average flavor,average freshness,average service,good environment,average value
Xfinity Live! Philadelphia,1100 Pattison Ave,39.9044484999,-75.1696318388,3.0,"latenight, dinner",$$,American (New),Not Applicable,average flavor,average freshness,below average service,good environment,average value
Xiandu Thai,1119 Walnut St,39.9490512,-75.159888,4.0,"lunch, dinner",$$,Thai,Not Applicable,good flavor,good freshness,excellent service,excellent environment,good value
XIX Nineteen,"200 S Broad St, Fl 19",39.949104,-75.164768,3.5,dinner,$$$,American (New),Seafood,average flavor,average freshness,below average service,good environment,average value
Xochitl,408 S 2nd St,39.9428742,-75.1456449,3.5,dinner,$$$,Asian Fusion,Mexican,good flavor,average freshness,average service,good environment,average value
Yakitori Boy,211 N 11th St,39.9559497,-75.1571603,3.5,"latenight, dinner",$$,Japanese,Not Applicable,good flavor,average freshness,average service,good environment,average value
Yamitsuki Ramen,1028 Arch St,39.9535423,-75.1574552,3.5,"lunch, dinner",$$,Japanese,Not Applicable,average flavor,average freshness,average service,good environment,average value
Yanako,4345 Main St,40.0256009,-75.2234981,4.0,dinner,$$,Japanese,Not Applicable,average flavor,average freshness,below average service,good environment,below average value
Yards Brewing Company,500 Spring Garden St,39.9609706195,-75.146908,4.0,Unknown,$$,American (Traditional),American (New),good flavor,good freshness,good service,good environment,good value
Zahav,237 St James Pl,39.9462611465,-75.1451350779,4.5,dinner,$$$$,Middle Eastern,Israeli,excellent flavor,excellent freshness,excellent service,excellent environment,good value
Zama,128 S 19th St,39.9509073,-75.1723929,3.5,dinner,$$$,Japanese,Not Applicable,good flavor,good freshness,average service,good environment,average value
Zorba's Taverna,2230 Fairmount Ave,39.9671642,-75.1748969,4.5,dinner,$$,Mediterranean,Greek,excellent flavor,good freshness,good service,good environment,good value
